House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,Term Addr,DA/PSA,CLLI8,NPANNX,ADDR_ID,NSP_INQ_ID,LU_ID,DA_Ready,Granite Qual - Bit 15 BO Type,Op Ready,OVALS Qual,Forced Ind,Working TN Status
"5630","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRUB""","=""T1073b3cb8b""","=""1RV51""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5638","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHROH""","=""T1073b3cb37""","=""1RBG2.7""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5639","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTEF""","=""T1073b3c241""","=""1A5B2""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5646","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTMK""","=""T1073b3bdff""","=""11HC.O""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5649","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUPR""","=""T1073b3c1e9""","=""19BI2.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5654","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHQZS""","=""T1073b3be41""","=""124B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5658","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5716 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRDO""","=""T1073b3c4a3""","=""1EES1.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5666","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5716 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHT8X""","=""T1073b3c0e3""","=""175P.M""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5668","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTOZ""","=""N1399fcbfc71""","=""1SMF4.E""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5671","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5680 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHT2E""","=""T1073b3c4f7""","=""1F3B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5680","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5680 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUFT""","=""T1073b3bf46""","=""142B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5685","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU4N""","=""T1073b3c89a""","=""1M2E.D""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5690","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","144A CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHS51""","=""T1073b3c1cc""","=""192B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5693","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHURQ""","=""T1073b3bd5e""","=""10B81.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5700","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5700 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU32""","=""T1073b3be3a""","=""121B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5703","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5700 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU4F""","=""T1073b3cb8f""","=""1S0B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5708","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5716 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUBT""","=""T1073b3c325""","=""1BPR.E""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5716","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5680 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU66""","=""T1073b3c67e""","=""1I2S.2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5726","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","144A CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHQUU""","=""T1073b3cb9d""","=""1S2B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5732","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU4Y""","=""T1073b3c77c""","=""1K3B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5737","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","148A CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHULI""","=""T1073b3c8a2""","=""1M4Q1.5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5740","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5748 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHQUI""","=""T1073b3cc30""","=""1T3B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5748","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5748 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUIR""","=""T1073b3cc65""","=""1TCT.3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5750","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5748 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTTF""","=""T1073b3c566""","=""1FV51""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5754","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5754 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRD1""","=""T1073b3bfdf""","=""15881.D""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5759","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHR41""","=""T1073b3c98f""","=""1NV51""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5760","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5768 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRJL""","=""T1073b3c2a4""","=""1AV51""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5768","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5768 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRAR""","=""T1073b3c238""","=""1A3B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5771","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5768 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRKX""","=""T1073b3c2b0""","=""1B1A2.5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5776","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","144A CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTW4""","=""T1073b3bfcd""","=""153B2""","FTTN","Not Ready","FTTN","FTTN","Forced Green",""
"5779","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHT9N""","=""T1073b3c63e""","=""1HNF2.6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5784","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","144A CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRXV""","=""T1073b3bdbd""","=""113B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5794","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5768 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRQV""","=""T1073b3c99d""","=""1O2B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5230","ELM ST","ST FRANCISVILLE","70775","","","","","","","F 113 PINE ST","210102","SFVLLAMA","225635","=""00001FHU0V""","=""F1585f4e52d""","=""16FJ4.Q""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5868","FOREST GLEN LN","ST FRANCISVILLE","70775","","","","","","","S 5850-4 PLANTATION DR","210102","SFVLLAMA","225635","=""00001FHUDV""","=""T1073b3c27d""","=""1AMD1.3""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"5874","FOREST GLEN LN","ST FRANCISVILLE","70775","","","","","","","S 5850-4 PLANTATION DR","210102","SFVLLAMA","225635","=""00001FHR3Q""","=""T1073b3bdc1""","=""11414.3""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"5902","FOREST GLEN LN","ST FRANCISVILLE","70775","","","","","","","F LOT 10 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHS0D""","=""T1073b3bdad""","=""10UF.J""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"5910","FOREST GLEN LN","ST FRANCISVILLE","70775","","","","","","","F LOT 10 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTFR""","=""T1073b3c013""","=""15N41.T""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"12404","HWY 10","ST FRANCISVILLE","70775","UNIT","CONSTR TRL","","","","","PED 12N-1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUBV""","=""T1073b3c781""","=""1K4L4.2""","FTTN","Not Ready","FTTN","","",""
"12404","HWY 10","ST FRANCISVILLE","70775","","","","","","","P 7N JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSLM""","=""T1073b3c106""","=""17GU""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12501","HWY 10","ST FRANCISVILLE","70775","RM","MGR OFFIC","FLR","1","","","P 2 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUEX""","=""N149413ab590""","=""1O5B1.1""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"12501","HWY 10","ST FRANCISVILLE","70775","","","","","","","S 12456 LA HWY 10 SAI","210102","SFVLLAMA","225635","=""00001FHQZJ""","=""T1073b3c1fb""","=""19GU.1""","FTTN","Not Ready","FTTN","FTTN","Dynamic","Y"
"12530","HWY 10","ST FRANCISVILLE","70775","","","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTOC""","=""T1073b3cc29""","=""1T19.P""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12536","HWY 10","ST FRANCISVILLE","70775","","","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHU2V""","=""K1073b3cc29""","=""1AMK3.H""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12537","HWY 10","ST FRANCISVILLE","70775","","","","","","","P 2 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHQQC""","=""T1073b3cb84""","=""1RTU1.3""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"12540","HWY 10","ST FRANCISVILLE","70775","APT","417","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTCD""","=""T1073b3c015""","=""15N81.J""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12540","HWY 10","ST FRANCISVILLE","70775","APT","419","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHS6F""","=""T1073b3c85e""","=""1LMD.7""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12540","HWY 10","ST FRANCISVILLE","70775","APT","435","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSPF""","=""T1073b3ccc4""","=""1U604.H""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12540","HWY 10","ST FRANCISVILLE","70775","APT","B","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHRP4""","=""N12515adf350""","=""1NG91.O""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12550","HWY 10","ST FRANCISVILLE","70775","APT","126","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHQVO""","=""N12515adf526""","=""1DTU1.1""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12550","HWY 10","ST FRANCISVILLE","70775","APT","423","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUEG""","=""T1073b3c412""","=""1DED2.2""","FTTN","Not Ready","FTTN","FTTN","Forced Green",""
"12550","HWY 10","ST FRANCISVILLE","70775","APT","425","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHR0S""","=""T1073b3ca37""","=""1PBS1.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12558","HWY 10","ST FRANCISVILLE","70775","APT","417","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHRGQ""","=""T1073b3c3bf""","=""1CRH2.2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12558","HWY 10","ST FRANCISVILLE","70775","APT","429","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUEF""","=""T1073b3bdcc""","=""11671.T""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12558","HWY 10","ST FRANCISVILLE","70775","APT","431","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTC8""","=""T1073b3c349""","=""1BUR1.8""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12558","HWY 10","ST FRANCISVILLE","70775","APT","437","","","","","P 5NE1 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHR5Q""","=""T1073b3cc32""","=""1T3F4.6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12566","HWY 10","ST FRANCISVILLE","70775","APT","435","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSB9""","=""N12515adf1f5""","=""1P0U.2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12566","HWY 10","ST FRANCISVILLE","70775","APT","437","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSLU""","=""T1073b3c347""","=""1BUP1.V""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12574","HWY 10","ST FRANCISVILLE","70775","APT","441","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTR3""","=""T1073b3c391""","=""1CJC.5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12574","HWY 10","ST FRANCISVILLE","70775","APT","443","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTCK""","=""T1073b3be5e""","=""12DI2.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12574","HWY 10","ST FRANCISVILLE","70775","APT","A","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUR6""","=""N12515adf34a""","=""1JQR1.7""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12579","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHRPF""","=""T1073b3bed1""","=""138U1.J""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12599","HWY 10","ST FRANCISVILLE","70775","APT","435","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHRFZ""","=""T1073b3c3c9""","=""1CTE4.O""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12613","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHRC2""","=""T1073b3cd3a""","=""1V2M2.1""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12655","HWY 10","ST FRANCISVILLE","70775","APT","435","","","","","R 437 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHR8O""","=""T1073b3c345""","=""1BUJ2.R""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12881","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHS1A""","=""T1073b3c5dd""","=""1GSR.9""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"12883","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSKT""","=""T1073b3cc56""","=""1T9U.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"12918","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHTGL""","=""T1073b3be7d""","=""12M41.9""","FTTN","Not Ready","FTTN","FTTN-BP","Forced Green",""
"13003","HWY 10","ST FRANCISVILLE","70775","","","","","","","F LOT 5 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHSAR""","=""T1073b3ca5f""","=""1PMQ.N""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"13039","HWY 10","ST FRANCISVILLE","70775","","","","","","","S 5850-3 PLANTATION DR","210102","SFVLLAMA","225635","=""00001FHUHE""","=""T1073b3c2de""","=""1BAF1.9""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"13120","HWY 10","ST FRANCISVILLE","70775","","","","","","","S 5850-3 PLANTATION DR","210102","SFVLLAMA","225635","=""00001FHTLM""","=""T1073b3cb83""","=""1RTC1.E""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"13301","HWY 10","ST FRANCISVILLE","70775","","","","","","","PED 8 JACKSON RD","210102","SFVLLAMA","225635","=""00001FHUV6""","=""T1073b3c158""","=""188D1.4""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"10173","MAGNOLIA CT","ST FRANCISVILLE","70775","","","","","","","R 305 OAK ST","210102","SFVLLAMA","225635","=""00001FHSVP""","=""T1073b3c737""","=""1JLQ""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10177","MAGNOLIA CT","ST FRANCISVILLE","70775","","","","","","","R 416 MAGNOLIA CT","210102","SFVLLAMA","225635","=""00001FHRL6""","=""T1073b3c6fa""","=""1J9D2.7""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10179","MAGNOLIA CT","ST FRANCISVILLE","70775","","","","","","","R 305 OAK ST","210102","SFVLLAMA","225635","=""00001FHT05""","=""T1073b3c994""","=""1O0B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10183","MAGNOLIA CT","ST FRANCISVILLE","70775","","","","","","","R 305 OAK ST","210102","SFVLLAMA","225635","=""00001FHUG4""","=""T1073b3bfb8""","=""14UA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10195","MAGNOLIA CT","ST FRANCISVILLE","70775","","","","","","","R 305 OAK ST","210102","SFVLLAMA","225635","=""00001FHRHB""","=""T1073b3caa8""","=""1Q6B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10200","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","OPP 451 MIMOSA CT","210102","SFVLLAMA","225635","=""00001FHUA8""","=""T1073b3c1d5""","=""1957.B""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10201","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","PED R278 PINE ST","210102","SFVLLAMA","225635","=""00001FHR6I""","=""T1073b3c084""","=""16IK.4""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10210","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","PED R278 PINE ST","210102","SFVLLAMA","225635","=""00001FHUSI""","=""T1073b3cd6a""","=""1VCE2.7""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10216","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","P 146-6 OAK ST","210102","SFVLLAMA","225635","=""00001FHSYO""","=""T1073b3c459""","=""1DUA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10220","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","OPP 451 MIMOSA CT","210102","SFVLLAMA","225635","=""00001FHQY6""","=""T1073b3be56""","=""129Q1.5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10222","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","P 14S-3 OAK ST","210102","SFVLLAMA","225635","=""00001FHTNY""","=""T1073b3c34b""","=""1BVA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"10226","MIMOSA CT","ST FRANCISVILLE","70775","","","","","","","P 14S-3 OAK ST","210102","SFVLLAMA","225635","=""00001FHSWI""","=""T1073b3cb82""","=""1RTA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5181","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 14S-3 OAK ST","210102","SFVLLAMA","225635","=""00001FHT32""","=""T1073b3cdb7""","=""1VTA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5189","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 14S-3 OAK ST","210102","SFVLLAMA","225635","=""00001FHTYH""","=""T1073b3cb5e""","=""1RL82""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5197","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 146-6 OAK ST","210102","SFVLLAMA","225635","=""00001FHQT3""","=""T1073b3caa3""","=""1Q5B.F""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5202","OAK ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHR5T""","=""T1073b3bf3c""","=""140F""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5205","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 14S-4 OAK ST","210102","SFVLLAMA","225635","=""00001FHU4H""","=""T1073b3c914""","=""1MTA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5210","OAK ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUGE""","=""T1073b3c784""","=""1K5B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5216","OAK ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTTW""","=""T1073b3be3d""","=""122R1.2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5221","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 14S-3 OAK ST","210102","SFVLLAMA","225635","=""00001FHR5O""","=""T1073b3ccb4""","=""1U2K.6""","FTTN","Not Ready","FTTN","FTTN","Dynamic","Y"
"5222","OAK ST","ST FRANCISVILLE","70775","","","","","","","146B CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRKV""","=""T1073b3ca17""","=""1P4B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5231","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 146-6 OAK ST","210102","SFVLLAMA","225635","=""00001FHSJ7""","=""T1073b3bdaa""","=""10TA2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5232","OAK ST","ST FRANCISVILLE","70775","","","","","","","146C CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHU0H""","=""T1073b3c057""","=""166B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5239","OAK ST","ST FRANCISVILLE","70775","","","","","","","P 14S-4 OAK ST","210102","SFVLLAMA","225635","=""00001FHRBX""","=""T1073b3c317""","=""1BMQ""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
